numberOfData, addingTime, findingTime, deletingTime
347, 1200, 2500, 1700
348, 1500, 2600, 2400
349, 800, 1800, 2000
350, 600, 2400, 1700
351, 1000, 1900, 2000
352, 900, 1500, 1700
353, 1100, 2400, 1400
354, 900, 1400, 2300
355, 1400, 1500, 1800
356, 800, 2600, 1800
357, 700, 2800, 1800
358, 900, 1600, 1800
359, 1100, 2200, 1800
360, 500, 1500, 1800
361, 500, 1600, 1500
362, 900, 2400, 1400
363, 700, 1500, 1900
364, 800, 1700, 1800
365, 600, 2500, 1600
366, 500, 1600, 2100
367, 500, 1500, 1600
368, 800, 2400, 1400
369, 800, 1600, 3500
370, 900, 3700, 2500
371, 900, 1800, 1800
372, 700, 1600, 3000
373, 1800, 1600, 1800
374, 400, 1600, 1600
375, 1100, 1700, 2800
376, 700, 2000, 3800
377, 900, 2100, 2600
378, 700, 1700, 4600
379, 600, 2300, 2500
380, 1000, 2500, 1800
381, 800, 1800, 1600
382, 500, 2600, 2000
383, 1000, 1900, 2500
384, 1100, 3000, 4400
385, 500, 2900, 1900
386, 1000, 1700, 1800
387, 400, 1800, 1600
388, 700, 2700, 4300
389, 1100, 3000, 2000
390, 800, 2400, 1700
391, 700, 4000, 2000
392, 1100, 1900, 1700
393, 1100, 1800, 2200
394, 700, 2800, 1900
395, 1400, 2700, 2500
396, 800, 1800, 1900
397, 700, 2400, 1400
398, 500, 1500, 1900
399, 700, 1500, 1500
400, 600, 8700, 2100
401, 1600, 1800, 3200
402, 700, 3100, 2000
403, 1500, 5600, 2800
404, 600, 2600, 3100
405, 400, 1500, 1500
406, 400, 1700, 1800
407, 400, 1500, 2500
408, 700, 4200, 2300
409, 1000, 3300, 2100
410, 800, 1500, 2900
411, 500, 1600, 1600
412, 1000, 1700, 2300
413, 900, 2700, 3500
414, 700, 1800, 1900
415, 800, 2100, 1800
416, 900, 1600, 2800
417, 700, 1900, 1900
418, 400, 1800, 1800
419, 800, 1500, 2700
420, 1100, 1900, 1800
421, 600, 11300, 35900
422, 2300, 18700, 13000
423, 2100, 7700, 7000
424, 2700, 10000, 4000
425, 1400, 4100, 11500
426, 1900, 1800, 2000
427, 1200, 1600, 2000
428, 1000, 1500, 3000
429, 1000, 1600, 2000
430, 1200, 2000, 2100
431, 600, 1400, 2900
432, 1000, 1700, 2500
433, 1400, 1500, 1900
434, 1200, 3600, 2200
435, 1200, 1600, 1800
436, 800, 1500, 1800
437, 900, 2400, 1800
438, 1000, 1500, 1800
439, 1100, 1500, 1600
440, 700, 3000, 1500
441, 800, 1500, 2200
442, 3100, 3200, 1700
443, 700, 3000, 1600
444, 600, 1300, 4100
445, 1500, 1800, 4800
446, 700, 2100, 1700
447, 700, 1500, 2500
448, 2000, 1700, 3600
449, 1300, 2000, 2600
450, 700, 1600, 3000
451, 900, 1500, 1600
452, 800, 1600, 1900
453, 800, 1500, 2700
454, 1000, 1500, 1800
455, 600, 1600, 1500
456, 1800, 4100, 3900
457, 1300, 2800, 2400
458, 1900, 1800, 2800
459, 1500, 3200, 3000
460, 1300, 3500, 2900
461, 700, 1500, 1700
462, 900, 1600, 2700
463, 800, 1800, 1600
464, 1400, 2100, 1800
465, 800, 1500, 3000
466, 600, 1400, 1500
467, 1100, 108600, 5000
468, 700, 2200, 2900
469, 900, 11900, 2300
470, 9200, 14700, 14200
471, 2200, 12300, 7300
472, 8000, 6800, 5000
473, 3700, 8200, 5000
474, 1300, 2900, 2100
475, 1700, 1600, 2800
476, 700, 2000, 1800
477, 1800, 1900, 2600
478, 1100, 1300, 2900
479, 1500, 1500, 2000
480, 1500, 1400, 2800
481, 1200, 1400, 2600
482, 1000, 1400, 1600
483, 700, 1300, 1200
484, 800, 1300, 2600
485, 900, 1200, 1800
486, 500, 1400, 1300
487, 600, 1300, 2800
488, 700, 1500, 1600
489, 1500, 2600, 3300
490, 1000, 1800, 2700
491, 500, 1300, 1400
492, 1200, 1300, 1700
493, 500, 1400, 2300
